iter	Passed	Remaining
401	18128	4644
402	18172	4599
403	18213	4553
404	18264	4509
405	18311	4465
406	18356	4419
407	18406	4376
408	18451	4331
409	18500	4286
410	18550	4242
411	18600	4198
412	18641	4152
413	18687	4107
414	18728	4061
415	18781	4018
416	18824	3972
417	18868	3927
418	18921	3883
419	18964	3837
420	19007	3792
421	19048	3746
422	19099	3702
423	19143	3657
424	19196	3613
425	19241	3568
426	19284	3522
427	19337	3478
428	19379	3433
429	19429	3388
430	19485	3345
431	19533	3300
432	19578	3255
433	19622	3210
434	19667	3164
435	19706	3118
436	19762	3075
437	19806	3029
438	19860	2985
439	19909	2941
440	19955	2896
441	20008	2851
442	20051	2806
443	20099	2761
444	20145	2716
445	20200	2672
446	20262	2629
447	20302	2583
448	20353	2538
449	20400	2493
450	20447	2448
451	20490	2402
452	20542	2358
453	20588	2312
454	20641	2268
455	20697	2224
456	20739	2178
457	20783	2132
458	20826	2087
459	20871	2041
460	20930	1997
461	20976	1952
462	21017	1906
463	21074	1862
464	21116	1816
465	21161	1771
466	21214	1726
467	21256	1680
468	21308	1635
469	21351	1590
470	21411	1545
471	21454	1499
472	21499	1454
473	21541	1408
474	21592	1363
475	21636	1318
476	21681	1272
477	21724	1227
478	21771	1181
479	21817	1136
480	21859	1090
481	21904	1045
482	21954	1000
483	21999	954
484	22045	909
485	22093	863
486	22139	818
487	22182	772
488	22242	727
489	22285	682
490	22333	636
491	22376	591
492	22429	545
493	22483	500
494	22530	455
495	22575	409
496	22621	364
497	22667	318
498	22713	273
499	22754	227
500	22809	182
501	22865	136
502	22910	91
503	22958	45
504	23005	0
