iter	Passed	Remaining
0	28	17527
1	47	14696
2	66	13654
3	99	15289
4	120	14871
5	140	14342
6	158	13849
7	176	13521
8	195	13246
9	213	13048
10	231	12825
11	251	12753
12	271	12665
13	290	12556
14	308	12454
15	327	12370
16	345	12265
17	363	12148
18	384	12152
19	416	12481
20	443	12655
21	465	12664
22	483	12546
23	501	12443
24	518	12347
25	536	12266
26	556	12232
27	575	12163
28	585	11939
29	608	11958
30	627	11916
31	648	11909
32	666	11847
33	699	12050
34	727	12165
35	747	12126
36	765	12067
37	784	12020
38	803	11972
39	822	11925
40	841	11882
41	860	11838
42	889	11934
43	909	11908
44	928	11865
45	954	11905
46	973	11864
47	992	11830
48	1012	11799
49	1026	11704
50	1044	11654
51	1064	11625
52	1084	11600
53	1104	11571
54	1122	11532
55	1143	11513
56	1161	11469
57	1175	11394
58	1197	11387
59	1217	11365
60	1238	11345
61	1259	11338
62	1286	11370
63	1304	11336
64	1324	11305
65	1342	11270
66	1362	11245
67	1382	11225
68	1402	11202
69	1423	11182
70	1443	11164
71	1461	11125
72	1480	11095
73	1491	11006
74	1511	10985
75	1534	10982
76	1553	10952
77	1572	10924
78	1594	10915
79	1635	11036
80	1653	11003
81	1677	11005
82	1697	10979
83	1714	10940
84	1735	10923
85	1754	10895
86	1772	10856
87	1790	10821
88	1810	10800
89	1830	10777
90	1848	10745
91	1868	10721
92	1887	10694
93	1904	10658
94	1924	10634
95	1946	10625
96	1965	10595
97	1982	10560
98	2001	10531
99	2019	10500
100	2038	10474
101	2056	10444
102	2078	10433
103	2097	10405
104	2118	10388
105	2137	10366
106	2155	10334
107	2183	10349
108	2200	10316
109	2220	10293
110	2238	10267
111	2259	10246
112	2277	10218
113	2296	10192
114	2316	10173
115	2334	10144
116	2351	10110
117	2369	10082
118	2387	10053
119	2407	10029
120	2429	10020
121	2448	9994
122	2468	9972
123	2489	9956
124	2507	9927
125	2524	9899
126	2542	9870
127	2563	9853
128	2582	9829
129	2600	9802
130	2619	9779
131	2638	9754
132	2657	9730
133	2677	9711
134	2697	9690
135	2716	9667
136	2737	9649
