iter	TotalF1	MultiClass
170	0.8635705759	0.3659455951
171	0.8650003815	0.3656422396
172	0.8650957362	0.3651154055
173	0.8647772896	0.3642982309
174	0.8648569065	0.3635997695
175	0.8650161297	0.3630200931
176	0.8650161297	0.3627960662
177	0.8648569065	0.3625287385
178	0.8665623729	0.3620807517
179	0.8659252162	0.3617811171
180	0.8662438515	0.3615106667
181	0.8663234937	0.3611162159
182	0.8671994874	0.3605323573
183	0.867836592	0.3602539864
184	0.8674384807	0.35988946
185	0.866880893	0.359442938
186	0.8682667971	0.3589796441
187	0.8679486176	0.3585175375
188	0.8674711065	0.3582102434
189	0.8679653442	0.3577502284
190	0.866674758	0.3574328611
191	0.866196942	0.357285014
192	0.866196942	0.3571598372
193	0.866674758	0.3567189404
194	0.866675103	0.3561522463
195	0.866675103	0.3559201717
196	0.866993396	0.3551848447
197	0.8676302361	0.3545031091
198	0.8677098073	0.354066538
199	0.8665945699	0.3535946981
200	0.867550281	0.353185394
201	0.8674707359	0.3530166187
202	0.8682670644	0.3524955782
203	0.8689834647	0.3523243906
204	0.868329652	0.3520432587
205	0.8687444802	0.3515738323
206	0.8689035926	0.3514790149
207	0.868824038	0.351330836
208	0.868824038	0.3505844835
209	0.8687444802	0.3504057725
210	0.8691592489	0.3500729223
211	0.8691592489	0.3498054419
212	0.8695571206	0.3492067419
213	0.8693979442	0.3489424581
214	0.8694775341	0.3488410808
215	0.8694775341	0.3488059449
216	0.8693183511	0.3484069211
217	0.8697957062	0.348195155
218	0.8695571206	0.3479334945
219	0.8696367039	0.3476727257
220	0.8713407642	0.3468121392
221	0.8715798667	0.3465262397
222	0.8707839208	0.34617037
223	0.8708635065	0.3458709099
224	0.8710226681	0.3456513824
225	0.8724554983	0.3451886522
226	0.8727115858	0.3447781134
227	0.8723131635	0.3446397507
228	0.8711034268	0.3445540181
229	0.8713404552	0.3441722584
230	0.8706247398	0.3436845611
231	0.8706247398	0.3434483546
232	0.8711016508	0.3431591731
233	0.8707843258	0.3425964103
234	0.8707843258	0.3422653125
235	0.8710229775	0.3420731589
236	0.8706253605	0.3419583826
237	0.8714376936	0.3416789853
238	0.8710403465	0.3413926343
239	0.8713581369	0.3408763028
240	0.8713581369	0.3407782814
241	0.8717727872	0.3405118113
242	0.8713757253	0.3403374341
243	0.8708812616	0.3400567763
244	0.8709785851	0.339778514
245	0.8709785851	0.3393075348
246	0.8708990476	0.3391212665
247	0.8708019612	0.3389004164
248	0.871693907	0.3386673521
249	0.8736863223	0.3381227154
250	0.8732091443	0.3379439375
251	0.8730496796	0.3379122604
252	0.8744841279	0.337625622
253	0.874801902	0.3375111289
254	0.8739255344	0.3370929431
255	0.8739435364	0.3368054946
256	0.8748541051	0.3364167417
257	0.8738971205	0.3362851316
258	0.8750912865	0.335857213
259	0.8749317541	0.3355967104
260	0.8750115218	0.3352468012
261	0.8750115218	0.3348588251
262	0.8758045974	0.3344304421
263	0.8750115218	0.3341068904
264	0.8753283152	0.333990395
265	0.8752485289	0.3338336217
266	0.8758174183	0.3334375607
267	0.8756579878	0.3331520608
268	0.8757377046	0.3330028054
269	0.8751641824	0.3325943041
270	0.8750844683	0.3323486374
271	0.8759615682	0.3321731422
272	0.8764236996	0.3316060927
273	0.8776196141	0.331394392
274	0.8772376969	0.3310895936
275	0.8768232583	0.3309772759
276	0.8768232583	0.3306604339
277	0.8768232583	0.3305294921
278	0.8781904472	0.3301613418
279	0.878270383	0.329939522
280	0.8801841474	0.3297707541
281	0.880264289	0.3293293849
282	0.880264289	0.329111727
283	0.8805046958	0.3288908429
284	0.8804245632	0.3287847569
285	0.8795475625	0.3285319807
286	0.8799476577	0.3283033263
287	0.8801076751	0.3281891924
288	0.881305862	0.3279634009
289	0.8813859627	0.3279219751
290	0.8790549989	0.3275348509
291	0.8788952317	0.3274050901
292	0.8788153437	0.3273188961
293	0.8808915381	0.3269945684
294	0.879693513	0.3267398159
295	0.8799334909	0.3259826848
296	0.8799334909	0.3258477603
297	0.8800934617	0.3255410111
298	0.880110874	0.3252353829
299	0.8804276748	0.3249648693
300	0.8804276748	0.3249307283
301	0.8804276748	0.3246839129
302	0.8803476792	0.3245793084
303	0.8802676808	0.3243539985
304	0.8804276748	0.3241760913
305	0.8803476792	0.3241074385
306	0.8805876572	0.323785568
307	0.8800162457	0.3234820981
308	0.8809748152	0.3233429538
309	0.8816262478	0.323097307
310	0.8816262478	0.3227453053
311	0.8816262478	0.3225275362
312	0.8820405496	0.3224342597
313	0.8820405496	0.3221581846
314	0.8828427614	0.321725881
315	0.8825260335	0.3212628905
316	0.8825260335	0.320981698
317	0.8832436366	0.320735952
318	0.8833238035	0.3206153732
319	0.8832436366	0.3205245929
320	0.8833238035	0.3201795527
321	0.8833238035	0.3198021917
322	0.8833238035	0.3196866784
323	0.8831634671	0.3195559868
324	0.8831634671	0.3191265441
325	0.8831634671	0.3189165135
326	0.8822044095	0.3186981604
327	0.8834979942	0.3182530416
328	0.8828591929	0.3180116513
329	0.883099376	0.3178125263
330	0.8840592031	0.3175569031
331	0.8836624321	0.3173761117
332	0.8838187013	0.3170338148
333	0.8828591929	0.3169499329
334	0.8838187013	0.3167047638
335	0.882699057	0.316543743
336	0.882699057	0.3162971567
337	0.8834979942	0.3158502922
338	0.8835781751	0.3156363291
339	0.8835781751	0.3155305501
340	0.8836583533	0.3152252322
341	0.8836583533	0.3151046587
342	0.8835781751	0.3149471811
343	0.8834979942	0.3146428867
344	0.8839790385	0.3144197287
345	0.884219524	0.3141896239
346	0.8841393649	0.3139540493
347	0.8841393649	0.3135664773
348	0.8836740724	0.3133855896
349	0.8836740724	0.3130168
350	0.883099376	0.3128677883
351	0.8836123961	0.312532213
352	0.8837725039	0.3123120068
353	0.8839028655	0.3120244599
354	0.8843980116	0.3115820539
355	0.8844781566	0.3114406126
356	0.8843178639	0.3111918873
357	0.8843980116	0.311118477
358	0.8853881774	0.310724703
359	0.8857842263	0.3104478291
360	0.8857842263	0.3101100085
361	0.8855299075	0.3097537799
362	0.8855299075	0.309503561
363	0.885944566	0.3092180212
364	0.8860247318	0.308867548
365	0.885944566	0.3087662557
366	0.8856902198	0.3084629612
367	0.8861850556	0.3082573106
368	0.8865009243	0.3078292558
369	0.8864207466	0.3077498498
370	0.8861801977	0.3076552987
371	0.88667471	0.3075433663
372	0.8868350899	0.3072634328
373	0.8872493796	0.3070252118
374	0.8872493796	0.3070163349
375	0.8872493796	0.3068821259
376	0.8873295739	0.3066372812
377	0.8869340818	0.3063463815
378	0.8870889832	0.3061677176
379	0.8870889832	0.3060540545
380	0.8870889832	0.3059934146
381	0.8872493796	0.3056291226
382	0.8875645703	0.3051809196
383	0.8871505567	0.3047502309
384	0.887070351	0.3043692022
385	0.8864958899	0.3041788708
386	0.8869901427	0.3040792614
387	0.8865760926	0.3038807112
388	0.8878051959	0.3036573701
389	0.8874899545	0.303465168
390	0.8875701408	0.3033346429
391	0.8877305055	0.3031783062
392	0.8881259929	0.3028676112
393	0.8882061856	0.3027772621
394	0.8882863756	0.3026094625
395	0.8881259929	0.3024717154
396	0.8881259929	0.30231207
397	0.8878853992	0.3021922638
398	0.8880457976	0.3016665632
399	0.8875515449	0.3014684757
400	0.8886016117	0.3011744147
401	0.8889969632	0.3010024431
402	0.8896441154	0.3008473384
403	0.8899592571	0.3006320425
404	0.8897244241	0.3005792543
405	0.8895638041	0.3004130943
406	0.8895638041	0.3002908281
407	0.8895638041	0.3001779662
408	0.8895638041	0.3000211724
409	0.8897244241	0.2998332223
410	0.8900456333	0.299630727
411	0.8905398693	0.2994897334
412	0.8904595653	0.2993505896
413	0.8903792588	0.2992637027
414	0.8904595653	0.2989184025
415	0.8904595653	0.2988857091
416	0.8912872733	0.2986780928
417	0.8918426746	0.2984242262
418	0.8919230033	0.2981962469
419	0.8919230033	0.2980143812
420	0.8919230033	0.2978339304
421	0.8920033295	0.2976471307
422	0.8924972042	0.2973036871
423	0.8928303664	0.2970466422
424	0.8928303664	0.2969537143
425	0.8924168727	0.2966602443
426	0.8924239113	0.2961331748
427	0.8933879216	0.2960045222
428	0.8921095347	0.2957128062
429	0.8921095347	0.29563363
430	0.8940373078	0.2953968339
431	0.8926786976	0.2951041202
432	0.8930931571	0.294897533
433	0.8934877461	0.2947752006
434	0.8935605604	0.2945613985
435	0.8936409889	0.294424304
436	0.8950991419	0.2939293953
437	0.8953407544	0.2937507711
438	0.8953407544	0.2936160891
439	0.8953407544	0.2935634171
440	0.8953407544	0.2934607793
441	0.8954212871	0.2933476328
442	0.8949316209	0.2930639114
443	0.8950120537	0.29285791
444	0.8951729119	0.2923642519
445	0.8953337605	0.2919949605
446	0.8952533374	0.2918717716
447	0.8951729119	0.2917722639
448	0.894598414	0.291686413
449	0.8950120537	0.2914712411
450	0.895092484	0.2913001633
451	0.895092484	0.290940901
452	0.895092484	0.2908399747
453	0.8955629147	0.2905617413
454	0.8958045014	0.2904312778
455	0.8958045014	0.290258175
456	0.8959574314	0.2899858045
457	0.8962795962	0.2896964175
458	0.8959655474	0.2894651813
459	0.8964406643	0.2893769061
460	0.8968541987	0.2892199206
461	0.8963793407	0.2890728264
462	0.8959655474	0.288927874
463	0.8959655474	0.2888432869
464	0.8959655474	0.2885070145
465	0.8958850256	0.2880981894
466	0.8959655474	0.2879213616
467	0.8963793407	0.2877428651
468	0.8964598678	0.2873642333
469	0.8963793407	0.2870218402
470	0.8964598678	0.2868434456
471	0.8964598678	0.2867031442
472	0.8963793407	0.286374839
473	0.8964598678	0.2860509343
474	0.8967014351	0.2856998688
475	0.8967819529	0.2856048123
476	0.8970346811	0.2850951639
477	0.8970346811	0.2850189049
478	0.8970346811	0.2847549682
479	0.8975093136	0.2846541623
480	0.8969347368	0.2844324412
481	0.8974287725	0.2842132657
482	0.8970346811	0.2840658241
483	0.8970346811	0.2838639293
484	0.8970346811	0.2837431797
485	0.8970346811	0.2834642684
486	0.8977509227	0.2832799432
487	0.8971235674	0.2830754139
488	0.8974372965	0.2829195103
489	0.8975178127	0.282748299
490	0.8975983265	0.2826914691
491	0.8971845071	0.2826444035
492	0.897265011	0.282575883
493	0.8973455127	0.2824922238
494	0.8975178127	0.282083306
495	0.8974372965	0.281785674
496	0.8975983265	0.2816588768
497	0.8975983265	0.2816377091
498	0.8970430646	0.2815011288
499	0.8975178127	0.2812454546
500	0.8978510512	0.2810891671
501	0.8984060147	0.2809206346
502	0.898486547	0.2807694535
503	0.898567077	0.2806771543
504	0.898567077	0.2805296652
505	0.898486547	0.2804853736
506	0.898567077	0.2803538166
507	0.8987281302	0.280125486
508	0.8987281302	0.2800737234
509	0.8986476047	0.2799781062
510	0.8978398544	0.2796761818
511	0.8980008616	0.2795853903
512	0.8983145963	0.279374276
513	0.8983145963	0.2790363435
514	0.8982340784	0.2790143146
515	0.8981535582	0.2789661862
516	0.8980730357	0.2787578474
517	0.8980730357	0.2786959557
518	0.8980730357	0.2785848133
519	0.8981535582	0.2783462996
520	0.8981535582	0.2782048703
521	0.8988612111	0.2779982678
522	0.8988612111	0.277766288
523	0.8988612111	0.2776201537
524	0.8988612111	0.2774896425
525	0.8988612111	0.2773298546
526	0.8988612111	0.2772741873
527	0.8989417599	0.2770384821
528	0.8991028505	0.2767084488
529	0.8990223063	0.2765746208
530	0.8991028505	0.2764950049
531	0.8991028505	0.2764387638
532	0.8991833923	0.276178091
533	0.8993444692	0.2758251481
534	0.8993444692	0.2756869404
535	0.8995964027	0.2754581823
536	0.8995964027	0.275333852
537	0.8995964027	0.2753110482
538	0.8995964027	0.2752866554
539	0.8995964027	0.2752276992
540	0.8995964027	0.2749767557
541	0.8995964027	0.2747969976
542	0.900563459	0.2747068298
543	0.9006533575	0.2743396808
544	0.9005727248	0.2742791013
545	0.9005727248	0.2741284364
546	0.9006533575	0.2740529048
547	0.9007339881	0.2739853684
548	0.9006533575	0.273848547
549	0.9006533575	0.2735338103
550	0.9008146165	0.2734099467
551	0.9008146165	0.2732799454
552	0.9008146165	0.2731769913
553	0.9007339881	0.2729088312
554	0.9004205084	0.2724934112
555	0.9007339881	0.2723164804
556	0.9008952427	0.2722324831
557	0.9004205084	0.2721471308
558	0.9004205084	0.2721085039
559	0.8999457236	0.2716759245
560	0.8999457236	0.2715670131
561	0.9005817327	0.2714018586
562	0.9008235531	0.2713152447
563	0.9007429485	0.27106373
564	0.9003487142	0.2709065438
565	0.9007429485	0.2708034099
566	0.9011371083	0.2706481484
567	0.9008235531	0.2704895355
568	0.9011371083	0.2704590267
569	0.9008235531	0.2704047206
570	0.9009041557	0.2701569114
571	0.9008235531	0.2701048038
572	0.9009041557	0.2699484102
573	0.9009041557	0.269702927
574	0.9009847561	0.2696558996
575	0.9024280662	0.2695367514
576	0.9028222951	0.2695247285
577	0.9014595657	0.2694447455
578	0.902347344	0.2692967143
579	0.9015586877	0.2691761309
580	0.9005904829	0.2690416603
581	0.9005904829	0.2690338666
582	0.9015586877	0.2687775412
583	0.9015586877	0.2683320389
584	0.9011642459	0.2682333875
585	0.9025266814	0.2680468995
586	0.9025266814	0.2679074441
587	0.9029211393	0.2676015273
588	0.903082779	0.267435533
589	0.9030019601	0.2673237066
590	0.9029211393	0.2670484285
591	0.9033963551	0.2668337913
592	0.9034158949	0.2667853422
593	0.903496721	0.2666003672
594	0.9031833169	0.2664443461
595	0.9031833169	0.2663619558
596	0.9035775451	0.2661177266
597	0.9032641262	0.266054085
598	0.9035775451	0.2660469284
599	0.9036583672	0.2658709399
600	0.9036583672	0.2656049437
601	0.9036583672	0.2654770317
602	0.9029506034	0.2652953609
603	0.9028698089	0.2651465826
604	0.9030313959	0.2650441626
605	0.9033449335	0.2648877169
606	0.9029506034	0.2648349045
607	0.9029506034	0.2646625437
608	0.9029506034	0.2645101411
609	0.9034257389	0.2644459083
610	0.9037391873	0.2641876835
611	0.9038200054	0.2640252024
612	0.9038200054	0.2637605699
613	0.9035065422	0.2637214985
614	0.9035065422	0.2635965217
615	0.9032641262	0.263521074
616	0.9028698089	0.2633229979
617	0.9029506034	0.263139956
618	0.9035266498	0.2629734999
619	0.9043147487	0.2626556606
