iter	TotalF1	MultiClass
0	0.7533589187	1.045325285
1	0.77296634	0.9979761314
2	0.7822771248	0.9567294478
3	0.792969557	0.9174800333
4	0.7941284479	0.8829129797
5	0.7930265688	0.8528056837
6	0.7926918008	0.8251148865
7	0.7963450676	0.79694101
8	0.795915578	0.7738977784
9	0.802081457	0.7489483977
10	0.8013351979	0.7295141423
11	0.8030858755	0.7102209519
12	0.8018991552	0.6936148333
13	0.802527521	0.6776160312
14	0.804940976	0.6625449845
15	0.8065218447	0.6499364118
16	0.8063510655	0.6362817308
17	0.8061514991	0.6253009027
18	0.8096617975	0.6126412723
19	0.8102692852	0.6011795798
20	0.812642645	0.5901011075
21	0.8110319537	0.5799482307
22	0.8112108637	0.572679151
23	0.8148578455	0.5625159272
24	0.8170405481	0.5535809453
25	0.8177527143	0.5464987941
26	0.8163039804	0.5394664482
27	0.8205848792	0.5290307278
28	0.8246764554	0.5210361314
29	0.8226338342	0.515350808
30	0.8294697227	0.5072886064
31	0.8306508786	0.4996382616
32	0.8314492321	0.4929905785
33	0.8323581398	0.4889618444
34	0.8330629367	0.4847947084
35	0.8356280865	0.4788060328
36	0.8364194113	0.4729894245
37	0.8385178703	0.4683280186
38	0.8393567391	0.4649257095
39	0.8401043655	0.4606957519
40	0.8399307753	0.4579505398
41	0.8395994396	0.4544936125
42	0.8428429281	0.4491962876
43	0.8438050159	0.4451337531
44	0.8449137713	0.4415600234
45	0.8437907659	0.4397587619
46	0.8443657327	0.4379768352
47	0.8460345919	0.4351050795
48	0.847131077	0.4320609581
49	0.8478740167	0.4288204193
50	0.8469382672	0.4268616423
51	0.8473467876	0.4246628834
52	0.8481027147	0.4221278896
53	0.8505279719	0.4190462632
54	0.850269121	0.4169678248
55	0.8516788872	0.4144790008
56	0.8515886071	0.4125743852
57	0.8538216367	0.4099289891
58	0.8548224404	0.4064770792
59	0.8553179421	0.4053493864
60	0.8556350084	0.4040150254
61	0.8562551366	0.402565896
62	0.8584076451	0.4008412025
63	0.8570961449	0.3995780516
64	0.8575994373	0.3974948965
65	0.8573419834	0.3961389472
66	0.8578301187	0.3940941109
67	0.8589080772	0.3918148583
68	0.8587492776	0.3906153536
69	0.8597530566	0.3884388538
70	0.8590129535	0.387304774
71	0.8595942288	0.3850633073
72	0.8610670174	0.3831288001
73	0.8611332975	0.3818247532
