iter	Passed	Remaining
401	13661	1631
402	13693	1596
403	13723	1562
404	13754	1528
405	13785	1494
406	13817	1459
407	13852	1425
408	13885	1391
409	13920	1358
410	13954	1324
411	13998	1291
412	14031	1257
413	14064	1223
414	14097	1188
415	14132	1155
416	14164	1120
417	14195	1086
418	14227	1052
419	14257	1018
420	14288	984
421	14318	950
422	14348	915
423	14382	881
424	14414	847
425	14446	813
426	14476	779
427	14507	745
428	14541	711
429	14572	677
430	14602	643
431	14635	609
432	14670	575
433	14702	542
434	14735	508
435	14770	474
436	14801	440
437	14831	406
438	14867	372
439	14898	338
440	14930	304
441	14960	270
442	14991	236
443	15023	203
444	15058	169
445	15091	135
446	15139	101
447	15176	67
448	15205	33
449	15235	0
