iter	TotalF1	MultiClass
0	0.7638252335	0.9960936193
1	0.7941183505	0.9100358473
2	0.8011942604	0.8445025511
3	0.8171998239	0.787204127
4	0.8161685765	0.7429281833
5	0.8240098308	0.7000138935
6	0.830013259	0.6628122952
7	0.8304895683	0.6346630667
8	0.8334747784	0.6077154532
9	0.8347909531	0.5882773431
10	0.8419953059	0.5619511809
11	0.8425878351	0.5423645096
12	0.8440068941	0.5277756508
13	0.8435873348	0.5133879599
14	0.8487515727	0.5009597075
15	0.847847392	0.4892668769
16	0.850248927	0.4777571791
17	0.8524619902	0.4673595012
18	0.8493346456	0.4574375942
19	0.8551431622	0.4452258788
20	0.8577029613	0.4358819145
21	0.8583270418	0.4308360796
22	0.8593972433	0.4249307928
23	0.862210245	0.4163666774
24	0.8649251918	0.4103515173
25	0.866290184	0.4046190438
26	0.8675508782	0.4001336013
27	0.8676482397	0.3958596596
28	0.8717658245	0.39137842
29	0.8759761918	0.3861000256
30	0.8763114457	0.3832676514
31	0.8753250645	0.3776639658
32	0.8757405723	0.3766294385
33	0.8774449716	0.3727470977
34	0.8771237562	0.3698588142
35	0.8794841462	0.3666108064
36	0.8795645814	0.3630230788
37	0.8797080529	0.3591812966
38	0.8789578917	0.3563998559
39	0.881865272	0.3538429179
40	0.8817088886	0.3509902159
41	0.8817131818	0.3482614883
42	0.8813952824	0.345914661
43	0.8819546567	0.3435789802
44	0.8818741678	0.3419619724
45	0.8819546567	0.3401442045
46	0.8819585599	0.338029987
47	0.8822724946	0.3359461925
48	0.8820351428	0.3337268243
49	0.8827726093	0.3311697384
50	0.8829335693	0.3301253053
51	0.8837960796	0.3277541108
52	0.8848451775	0.3262250406
53	0.884603086	0.3260768056
54	0.8845223836	0.3257758532
55	0.885157492	0.3242520862
56	0.8855726561	0.3237040778
57	0.8859069996	0.3221712805
58	0.8867084116	0.3215841641
59	0.8874462655	0.3193154546
60	0.8877628493	0.3180773695
61	0.8872970566	0.3158507562
62	0.8892287407	0.3132968316
63	0.8895630875	0.3113081855
64	0.8899782093	0.30993642
65	0.890051571	0.3085842764
66	0.8915383634	0.307302373
67	0.8925006191	0.3049925694
68	0.8943196991	0.3035828241
69	0.8948957355	0.3019533432
70	0.8949766556	0.3002975387
71	0.8961085605	0.2982425666
72	0.8982937034	0.2960898187
73	0.8990823806	0.2951288538
74	0.898688079	0.293527661
75	0.8987691149	0.2924448564
76	0.8992661109	0.2907533637
77	0.9000860834	0.2890470376
78	0.9013898433	0.2878357433
79	0.9011379969	0.2862371412
80	0.9025710653	0.2847083186
81	0.9018038817	0.2829414038
82	0.9034713308	0.2809308498
83	0.9030654815	0.2796004363
84	0.9036211968	0.278229741
85	0.9042977497	0.2762158471
86	0.9045212495	0.2739443463
87	0.9046707786	0.2726158152
88	0.9050681004	0.2717987325
89	0.9056429434	0.2704225732
90	0.9054125638	0.2698249414
91	0.907406668	0.2681267767
92	0.9078945246	0.2667094784
93	0.9082060513	0.2658435289
94	0.9066301538	0.2647745675
95	0.9074401811	0.2634253682
96	0.9091238888	0.2617285433
97	0.908645774	0.2607212069
98	0.9097750472	0.2590224535
99	0.9107235338	0.2572312287
100	0.9105074448	0.2561114933
