iter	Passed	Remaining
0	55	28058
1	116	29299
2	158	26532
3	200	25054
4	241	24112
5	285	23735
6	326	23245
7	368	22916
8	410	22644
9	457	22646
10	512	23018
11	553	22758
12	600	22722
13	645	22628
14	706	23071
15	747	22834
16	792	22742
17	833	22547
18	874	22359
19	922	22365
20	962	22173
21	1008	22138
22	1054	22094
23	1100	22049
24	1148	22043
25	1189	21910
26	1236	21883
27	1272	21682
28	1320	21675
29	1368	21668
30	1418	21689
31	1467	21697
32	1489	21311
33	1537	21295
34	1578	21203
35	1626	21190
36	1670	21134
37	1714	21073
38	1759	21027
39	1803	20967
40	1849	20927
41	1892	20862
42	1951	20972
43	1992	20875
44	2036	20813
45	2078	20734
46	2123	20694
47	2171	20669
48	2217	20633
49	2265	20619
50	2310	20566
51	2356	20530
52	2403	20493
53	2421	20223
54	2434	19917
55	2477	19866
56	2518	19797
57	2560	19736
58	2605	19699
59	2658	19719
60	2701	19666
61	2742	19598
62	2784	19534
63	2831	19507
64	2872	19444
65	2913	19377
66	2959	19346
67	3005	19312
68	3048	19261
69	3093	19222
70	3141	19203
71	3185	19155
72	3228	19104
73	3270	19046
74	3312	18988
75	3355	18940
76	3396	18878
77	3438	18825
78	3485	18795
79	3526	18734
80	3568	18678
81	3619	18672
82	3662	18623
83	3704	18566
84	3747	18517
85	3794	18489
86	3835	18429
87	3876	18369
88	3923	18339
89	3969	18301
90	4009	18240
91	4052	18191
92	4093	18135
93	4135	18083
94	4179	18036
95	4221	17983
96	4269	17957
97	4311	17907
98	4358	17875
99	4406	17847
100	4453	17812
101	4494	17758
102	4538	17713
103	4579	17657
104	4621	17604
105	4664	17556
106	4704	17498
107	4748	17456
108	4790	17402
109	4843	17391
110	4884	17336
111	4928	17293
112	4971	17244
113	5015	17201
114	5064	17176
115	5105	17122
116	5156	17100
117	5196	17044
118	5237	16988
119	5278	16936
120	5319	16880
121	5360	16830
122	5407	16793
123	5458	16770
124	5499	16719
125	5540	16665
126	5584	16620
127	5630	16584
128	5674	16539
129	5722	16508
130	5764	16456
131	5806	16407
132	5850	16363
133	5894	16320
134	5939	16279
135	5989	16251
136	6041	16229
137	6085	16183
138	6130	16142
139	6174	16098
140	6221	16062
141	6272	16033
142	6312	15980
143	6360	15946
144	6412	15920
145	6465	15897
146	6510	15855
147	6554	15810
148	6598	15764
149	6652	15745
150	6697	15702
151	6739	15650
152	6788	15618
153	6830	15568
154	6877	15530
155	6925	15493
156	6972	15454
157	7028	15436
158	7071	15387
159	7114	15341
160	7161	15302
161	7210	15265
162	7256	15224
163	7302	15184
164	7343	15132
165	7387	15087
166	7433	15045
167	7476	14997
168	7525	14962
169	7568	14914
170	7612	14868
171	7657	14825
172	7701	14780
173	7748	14740
174	7797	14703
175	7840	14655
176	7888	14618
177	7929	14567
178	7976	14527
179	8022	14485
180	8071	14448
181	8112	14397
182	8162	14361
183	8210	14323
184	8250	14270
185	8290	14219
186	8337	14179
187	8379	14129
188	8423	14084
189	8472	14047
190	8515	13998
191	8575	13979
192	8616	13929
193	8661	13885
194	8702	13834
195	8746	13788
196	8787	13739
197	8834	13698
198	8878	13652
199	8925	13612
200	8967	13562
201	9016	13525
202	9057	13475
203	9098	13424
204	9140	13376
205	9195	13346
206	9241	13304
207	9282	13253
208	9331	13215
209	9384	13182
210	9431	13141
211	9481	13104
212	9526	13059
213	9580	13028
214	9630	12989
215	9680	12951
216	9721	12902
217	9767	12859
218	9808	12809
219	9854	12766
220	9893	12714
221	9941	12673
222	9987	12629
223	10036	12590
224	10077	12540
225	10126	12500
226	10167	12451
227	10214	12410
228	10263	12370
229	10304	12320
230	10349	12276
231	10397	12235
232	10441	12189
233	10481	12138
234	10524	12091
235	10571	12049
236	10612	12000
237	10654	11952
238	10702	11911
239	10745	11864
240	10789	11819
241	10834	11774
242	10877	11728
243	10920	11681
244	10961	11632
245	11000	11581
246	11046	11538
247	11089	11492
248	11134	11447
249	11180	11404
250	11226	11361
251	11271	11316
252	11316	11272
253	11375	11241
254	11417	11193
255	11459	11146
256	11505	11102
257	11546	11054
258	11596	11014
259	11641	10969
260	11687	10926
261	11732	10881
262	11774	10834
263	11821	10791
264	11864	10745
265	11909	10700
266	11954	10656
267	11994	10607
268	12048	10570
269	12093	10525
270	12135	10478
271	12176	10431
272	12221	10386
273	12261	10337
274	12301	10288
275	12350	10247
276	12392	10200
277	12442	10159
278	12489	10117
279	12535	10073
280	12577	10026
281	12622	9981
282	12663	9934
283	12706	9887
284	12753	9844
285	12795	9797
286	12838	9752
287	12884	9707
288	12927	9662
289	12973	9618
290	13018	9573
291	13061	9527
292	13102	9480
293	13146	9435
294	13192	9391
295	13234	9344
296	13283	9303
297	13331	9260
298	13377	9216
299	13423	9172
300	13471	9129
301	13513	9083
302	13573	9049
303	13615	9002
304	13657	8955
305	13706	8913
306	13750	8868
307	13796	8824
308	13837	8777
309	13887	8735
310	13933	8691
311	13981	8648
312	14020	8600
313	14069	8558
314	14112	8512
315	14156	8467
316	14200	8422
317	14240	8374
318	14280	8326
319	14321	8279
320	14363	8233
321	14404	8186
322	14444	8138
323	14485	8092
324	14525	8045
325	14572	8001
326	14620	7958
327	14667	7914
328	14716	7872
329	14768	7831
330	14819	7790
331	14861	7744
332	14905	7698
333	14947	7652
334	14990	7607
335	15031	7560
336	15072	7514
337	15113	7467
338	15157	7422
339	15196	7374
340	15238	7328
341	15278	7281
342	15320	7235
343	15365	7191
344	15412	7147
345	15452	7101
346	15492	7054
347	15533	7007
348	15574	6961
349	15616	6915
350	15658	6870
351	15697	6823
352	15758	6785
353	15801	6740
354	15843	6694
355	15890	6650
356	15931	6604
357	15972	6558
358	16016	6513
359	16063	6469
360	16113	6427
361	16155	6381
362	16198	6336
363	16241	6291
364	16285	6246
365	16328	6201
366	16369	6155
367	16410	6109
368	16452	6063
369	16496	6018
370	16538	5973
371	16588	5930
372	16632	5885
373	16671	5839
374	16716	5794
375	16762	5751
376	16802	5704
377	16852	5662
378	16895	5616
379	16941	5572
380	16983	5527
381	17029	5483
382	17072	5438
383	17118	5394
384	17163	5349
385	17207	5304
386	17253	5260
387	17295	5215
388	17337	5170
389	17386	5126
390	17429	5081
391	17468	5035
392	17515	4991
393	17562	4947
394	17611	4904
395	17658	4860
396	17708	4817
397	17752	4772
398	17796	4727
399	17838	4682
400	17880	4637
401	17933	4594
402	17975	4549
403	18016	4504
404	18060	4459
405	18113	4416
406	18154	4371
407	18194	4325
408	18233	4279
409	18273	4234
410	18314	4188
411	18361	4144
412	18408	4100
413	18451	4055
